,rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings
0,1,Garena Free Fire- World Series,86273129,500000000,4,2.1,6.9,0.0,ACTION,63546766,4949507,3158756,2122183,12495915
1,2,PUBG MOBILE - Traverse,37276732,500000000,4,1.8,3.6,0.0,ACTION,28339753,2164478,1253185,809821,4709492
2,3,Mobile Legends: Bang Bang,26663595,100000000,4,1.5,3.2,0.0,ACTION,18777988,1812094,1050600,713912,4308998
3,4,Brawl Stars,17971552,100000000,4,1.4,4.4,0.0,ACTION,13018610,1552950,774012,406184,2219794
4,5,Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500000000,4,0.8,1.5,0.0,ACTION,9827328,2124154,1047741,380670,1084340
5,6,Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100000000,4,2.0,4.0,0.0,ACTION,10501443,1274162,517273,268489,1010778
6,7,Among Us,11936964,100000000,3,1.8,5.6,0.0,ACTION,5954262,1041297,853099,719378,3368926
7,8,Temple Run 2,9633929,500000000,4,0.3,0.8,0.0,ACTION,6579369,991341,614643,349003,1099571
8,9,PUBG MOBILE LITE,7578630,100000000,4,1.0,2.5,0.0,ACTION,5382545,500696,351523,238986,1104879
9,10,Gangstar Vegas: World of Crime,6268377,100000000,4,0.4,1.0,0.0,ACTION,4509647,605510,319332,167792,666094
10,11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100000000,4,0.2,0.5,0.0,ACTION,3866308,527159,326294,186593,775578
11,12,Bowmasters,5471344,100000000,4,2.0,4.1,0.0,ACTION,4319351,514574,229990,98901,308525
12,13,Standoff 2,4801658,50000000,4,3.0,7.6,0.0,ACTION,3884644,365380,135150,65422,351059
13,14,Talking Tom Gold Run,4710639,100000000,4,1.3,4012.8,0.0,ACTION,3581634,397794,200800,116460,413948
14,15,Garena Liên Quân Mobile,4564398,50000000,4,1.0,2.7,0.0,ACTION,3142312,386513,204843,111645,719082
15,16,Banana Kong,4496723,100000000,4,0.5,1.0,0.0,ACTION,3497817,518453,223009,72115,185328
16,17,Crossy Road,4464668,100000000,4,0.1,0.2,0.0,ACTION,3379550,576816,234463,68644,205194
17,18,War Robots. 6v6 Tactical Multiplayer Battles,4221389,50000000,3,692.7,0.6,0.0,ACTION,2634036,450688,267931,164087,704645
18,19,MORTAL KOMBAT: The Ultimate Fighting Game!,4215808,50000000,4,0.5,1.2,0.0,ACTION,2874353,457806,254154,136153,493340
19,20,Last Day on Earth: Survival,4159837,50000000,4,0.7,1.6,0.0,ACTION,3073534,463932,205166,103198,314004
20,21,Agar.io,4112075,100000000,3,0.2,0.3,0.0,ACTION,2493810,428315,289428,156522,743997
21,22,DEER HUNTER CLASSIC,3987062,100000000,4,0.0,0.0,0.0,ACTION,2776350,614755,242698,81199,272058
22,23,Modern Combat 5: eSports FPS,3516024,100000000,4,0.5,1.0,0.0,ACTION,2419540,421218,214049,100008,361206
23,24,Kick the Buddy,3213257,100000000,4,1.0,2.3,0.0,ACTION,2174466,265019,189630,118612,465528
24,25,Special Forces Group 2,3195503,100000000,4,1.4,7584.9,0.0,ACTION,2486283,232254,118927,70889,287147
25,26,DEAD TRIGGER 2 - Zombie Game FPS shooter,3140510,50000000,4,0.2,0.5,0.0,ACTION,2332406,409344,156460,63835,178462
26,27,Mini Militia - Doodle Army 2,3133361,100000000,4,0.9,2.1,0.0,ACTION,2107121,271167,174340,107203,473528
27,28,Call of Duty®: Mobile - Garena,2695923,10000000,4,3.2,5.5,0.0,ACTION,1922909,223625,133776,79762,335849
28,29,CATS: Crash Arena Turbo Stars,2670589,50000000,4,1082.3,1.0,0.0,ACTION,1944649,272948,134237,69845,248907
29,30,Injustice: Gods Among Us,2540439,10000000,4,0.1,0.2,0.0,ACTION,1879504,251048,115871,60732,233281
30,31,Swamp Attack,2472561,100000000,4,0.3,0.7,0.0,ACTION,1841035,284687,138333,56785,151718
31,32,GUNSHIP BATTLE: Helicopter 3D,2380639,50000000,4,0.2,0.3,0.0,ACTION,1582549,267812,149090,73581,307605
32,33,Real Steel World Robot Boxing,2365838,50000000,4,0.1,0.2,0.0,ACTION,1849560,211891,101452,42652,160281
33,34,Critical Ops: Online Multiplayer FPS Shooting Game,2271977,50000000,4,0.4,0.9,0.0,ACTION,1561779,253442,130615,65118,261021
34,35,LINE Rangers - a tower defense RPG w/Brown & Cony!,2131549,10000000,4,0.1,0.2,0.0,ACTION,1508264,249413,138706,48233,186930
35,36,Worms Zone .io - Voracious Snake,2100984,100000000,4,3.1,6.7,0.0,ACTION,1509125,187398,116123,66573,221763
36,37,Six-Guns: Gang Showdown,2083413,10000000,4,0.1,0.1,0.0,ACTION,1394048,187327,118080,65989,317967
37,38,DEAD TARGET: Zombie Offline - Shooting Games,2006745,100000000,4,0.9,1.6,0.0,ACTION,1474331,212483,115682,53493,150754
38,39,FRONTLINE COMMANDO: D-DAY,1985016,10000000,3,0.3,0.6,0.0,ACTION,1293275,125940,82481,56490,426828
39,40,Mario Kart Tour,1949497,50000000,4,0.7,1.5,0.0,ACTION,1268146,253822,113829,62099,251599
40,41,Guns of Boom - Online PvP Action,1860814,50000000,4,0.1,0.1,0.0,ACTION,1160948,217692,116516,65998,299658
41,42,Hunter Assassin,1846221,100000000,4,2.7,6.1,0.0,ACTION,1224239,194406,138751,80276,208547
42,43,RULES OF SURVIVAL,1823477,50000000,3,0.1,0.2,0.0,ACTION,1182010,113508,91381,66639,369937
43,44,Zombie Catchers - love the hunt!,1796325,100000000,4,1.4,3.2,0.0,ACTION,1346602,186584,95030,41917,126190
44,45,Into the Dead,1714060,50000000,4,0.2,0.3,0.0,ACTION,1307508,207492,77701,27838,93519
45,46,Respawnables: Gun Shooting Games,1656299,10000000,4,0.1,0.2,0.0,ACTION,1168260,143292,81868,46576,216300
46,47,Modern Strike Online: Free PvP FPS shooting game,1642589,50000000,4,1.1,2.5,0.0,ACTION,1250905,137258,70168,38552,145704
47,48,Block Strike,1607897,10000000,4,0.2,0.5,0.0,ACTION,1036342,184035,107587,53758,226173
48,49,Blitz Brigade - Online FPS fun,1599244,10000000,3,0.0,0.0,0.0,ACTION,996575,145501,99100,53947,304119
49,50,Super Mario Run,1583866,100000000,3,0.3,0.8,0.0,ACTION,877904,162431,131708,84146,327675
50,51,Tomb of the Mask,1576576,100000000,4,2.3,5.3,0.0,ACTION,1146916,188132,81053,40397,120075
51,52,Archero,1542169,50000000,4,0.9,1.8,0.0,ACTION,1081928,209791,90183,36824,123441
52,53,DINO HUNTER: DEADLY SHORES,1495507,50000000,4,0.1,0.2,0.0,ACTION,1096349,179585,80390,29979,109201
53,54,DEAD TRIGGER - Offline Zombie Shooter,1481552,10000000,4,0.1,0.3,0.0,ACTION,1101432,189555,81708,28774,80080
54,55,Johnny Trigger - Action Shooting Game,1457639,100000000,4,1.2,2.7,0.0,ACTION,1091308,146150,77445,36949,105784
55,56,PPSSPP - PSP emulator,1396630,100000000,4,0.9,1.9,0.0,ACTION,1033914,134027,67488,33534,127664
56,57,Robbery Bob - Sneaky Adventures,1344699,100000000,4,1.7,3.7,0.0,ACTION,1027860,91275,58201,37535,129825
57,58,Hide Online - Hunters vs Props,1301440,50000000,4,1.2,2.5,0.0,ACTION,944546,135687,69421,32918,118866
58,59,Soul Knight,1291305,50000000,4,1.4,2.9,0.0,ACTION,992147,145616,55754,23143,74642
59,60,aquapark.io,1258805,100000000,4,1.3,2.7,0.0,ACTION,820853,127892,80228,51083,178747
60,61,Creative Destruction,1254295,10000000,4,0.5,1.2,0.0,ACTION,896055,102711,59553,34605,161368
61,62,Anger of stick 5 : zombie,1238228,100000000,4,1.3,3.0,0.0,ACTION,909585,103667,61570,36884,126519
62,63,Bomber Friends,1227050,50000000,4,0.8,1.7,0.0,ACTION,876781,130160,71604,34890,113612
63,64,DRAGON BALL LEGENDS,1216126,10000000,4,1.6,3.6,0.0,ACTION,868905,139200,61082,28015,118922
64,65,Modern Sniper,1196490,50000000,4,0.3,0.6,0.0,ACTION,777088,124118,91842,47065,156374
65,66,Nebulous.io,1166709,50000000,4,0.3,0.6,0.0,ACTION,829860,123712,68779,31450,112906
66,67,War Machines: Tank Battle - Army & Military Games,1161701,100000000,4,1.2,2.4,0.0,ACTION,692694,176040,96601,46480,149883
67,68,Sea Battle 2,1134127,10000000,4,1.4,3.1,0.0,ACTION,904701,144910,43308,12872,28334
68,69,FRAG Pro Shooter,1129645,50000000,4,4.1,8.5,0.0,ACTION,846003,88206,53387,31451,110596
69,70,PUBG MOBILE,1073769,10000000,4,2.7,4.5,0.0,ACTION,839876,56847,34971,22041,120032
70,71,Rope Hero: Vice Town,1070197,100000000,4,2.6,5.6,0.0,ACTION,758309,80160,55138,37528,139060
71,72,DRAGON BALL Z DOKKAN BATTLE,1066554,10000000,4,0.5,0.9,0.0,ACTION,795922,118008,40491,18831,93301
72,73,Deer Hunter 2018,1023162,50000000,4,0.0,0.1,0.0,ACTION,637243,120170,62893,33380,169472
73,74,FRONTLINE COMMANDO 2,998677,10000000,4,0.0,0.1,0.0,ACTION,716212,146888,62106,19161,54308
74,75,Real Gangster Crime,996586,100000000,4,2.7,5.9,0.0,ACTION,682355,73943,51588,39307,149391
75,76,Battlelands Royale,992742,10000000,4,0.2,0.6,0.0,ACTION,617561,123643,72319,38945,140270
76,77,Talking Tom Hero Dash - Run Game,974789,100000000,4,4.2,9.0,0.0,ACTION,711239,72360,43788,30322,117078
77,78,Arena of Valor: 5v5 Arena Game,963507,10000000,3,0.5,0.9,0.0,ACTION,547583,109014,62331,33309,211267
78,79,BombSquad,907609,10000000,4,0.7,1.4,0.0,ACTION,669505,94180,47135,22028,74760
79,80,PUBG MOBILE VN – KONG x GODZILLA,900069,10000000,4,1.5,2.3,0.0,ACTION,623089,74194,38393,22556,141835
